dt|tmp
2022-04-26 14:26:45.981000|2
2022-04-26 14:27:07.298000|0
2022-04-26 14:27:07.298000|0
2022-04-26 14:27:47.493000|2
2022-04-26 14:27:47.493000|2
2022-04-26 14:28:19.379000|2
2022-04-26 14:28:19.379000|2
2022-04-26 14:28:46.953000|2
2022-04-26 14:28:46.953000|2
2022-04-26 14:29:19.122000|2
2022-04-26 14:29:19.122000|2
2022-04-26 14:30:43.356000|3
2022-04-26 14:30:43.356000|3
2022-04-26 14:31:18.472000|3
2022-04-26 14:31:18.472000|3
2022-04-26 14:31:58.328000|3
2022-04-26 14:31:58.328000|2
2022-04-26 14:33:17.332000|2
2022-04-26 14:33:17.332000|2
2022-04-26 14:34:29.312000|3
2022-04-26 14:34:29.312000|2
2022-04-26 16:21:14.234000|0
2022-04-26 16:21:14.234000|0
2022-04-26 16:21:41.686000|0
2022-04-26 16:21:41.686000|0
2022-04-26 16:22:09.994000|1
2022-04-26 16:22:09.994000|0
2022-04-26 16:22:33.139000|0
2022-04-26 16:22:33.139000|0
2022-04-26 16:22:59.629000|3
2022-04-26 16:22:59.629000|2
2022-04-26 16:23:22.023000|2
2022-04-26 16:23:22.023000|2
2022-04-26 16:23:41.544000|2
2022-04-26 16:23:41.544000|2
2022-04-26 16:24:03.125000|2
2022-04-26 16:24:03.125000|2
2022-04-26 16:24:24.885000|2
2022-04-26 16:24:24.885000|2
2022-04-26 16:24:47.142000|2
2022-04-26 16:24:47.142000|2
2022-04-26 16:25:07.341000|2
2022-04-26 16:25:07.341000|2
2022-04-26 16:25:31.401000|2
2022-04-26 16:25:31.401000|2
2022-04-26 16:26:06.546000|2
2022-04-26 16:26:06.546000|2
2022-04-26 16:27:03.787000|2
2022-04-26 16:27:03.787000|2
2022-04-26 16:27:43.181000|2
2022-04-26 16:27:43.181000|2
2022-04-26 16:49:50.675000|2
2022-04-26 16:49:50.675000|2
2022-04-26 16:50:48.585000|2
2022-04-26 16:50:48.585000|3
2022-04-26 16:57:50.026000|2
2022-04-26 16:57:50.026000|2
2022-04-26 16:58:14.877000|2
2022-04-26 16:58:14.877000|2
2022-04-26 16:59:07.593000|2
2022-04-26 16:59:07.593000|2
2022-04-26 16:59:28.361000|2
2022-04-26 16:59:28.361000|2
2022-04-26 16:59:49.177000|0
2022-04-26 16:59:49.177000|0
2022-04-26 17:00:09.556000|0
2022-04-26 17:00:09.556000|0
2022-04-26 17:00:29.682000|0
2022-04-26 17:00:29.682000|0
2022-04-26 17:01:53.543000|1
2022-04-26 17:01:53.543000|1
2022-04-26 17:02:18.642000|0
2022-04-26 17:02:18.642000|0
2022-04-26 17:02:36.109000|0
2022-04-26 17:02:36.109000|2
2022-04-26 17:03:02.196000|0
2022-04-26 17:03:02.196000|0
2022-04-26 17:03:20.753000|0
2022-04-26 17:03:20.753000|0
2022-04-26 17:07:01.604000|0
2022-04-26 17:07:01.604000|0
2022-04-26 17:07:50.089000|0
2022-04-26 17:07:50.089000|0
2022-04-26 17:08:33.341000|0
2022-04-26 17:08:33.341000|0
2022-04-26 17:09:09.279000|0
2022-04-26 17:09:09.279000|0
2022-04-26 17:09:51.698000|0
2022-04-26 17:09:51.698000|0
2022-04-27 13:07:32.389000|1
2022-04-27 13:07:32.389000|2
2022-04-27 13:08:09.480000|1
2022-04-27 13:08:09.480000|0
2022-04-27 13:08:31.500000|0
2022-04-27 13:08:31.500000|1
2022-04-27 13:08:53.905000|0
2022-04-27 13:08:53.905000|1
2022-04-27 13:09:18.052000|7
2022-04-27 13:09:18.052000|8
2022-04-27 13:09:52.259000|1
2022-04-27 13:09:52.259000|1
2022-04-27 13:10:17.030000|5
2022-04-27 13:10:17.030000|3
2022-04-27 13:10:47.645000|4
2022-04-27 13:10:47.645000|4
2022-04-27 13:11:20.866000|4
2022-04-27 13:11:20.866000|4
2022-04-27 13:11:46.213000|5
2022-04-27 13:11:46.213000|5
2022-04-27 13:12:18.838000|6
2022-04-27 13:12:18.838000|5
2022-04-27 13:12:45.141000|4
2022-04-27 13:12:45.141000|4
2022-04-27 13:13:17.584000|4
2022-04-27 13:13:17.584000|4
2022-04-27 13:14:19.785000|6
2022-04-27 13:14:19.785000|5
2022-04-27 13:15:10.107000|4
2022-04-27 13:15:10.107000|5
2022-04-27 13:16:04.685000|6
2022-04-27 13:16:04.685000|6
2022-04-27 13:17:09.988000|5
2022-04-27 13:17:09.988000|5
2022-04-27 13:57:17.791000|2
2022-04-27 13:57:17.791000|3
2022-04-27 13:57:53.455000|3
2022-04-27 13:57:53.455000|2
2022-04-27 13:58:16.586000|3
2022-04-27 13:58:16.586000|3
2022-04-27 13:58:48.270000|4
2022-04-27 13:58:48.270000|3
2022-04-27 13:59:18.676000|3
2022-04-27 13:59:18.676000|3
2022-04-27 13:59:39.992000|2
2022-04-27 13:59:39.992000|3
2022-04-27 14:00:05.464000|2
2022-04-27 14:00:05.464000|3
2022-04-27 14:00:27.694000|4
2022-04-27 14:00:27.694000|3
2022-04-27 14:01:18.207000|5
2022-04-27 14:01:18.207000|3
2022-04-27 14:01:39.217000|3
2022-04-27 14:01:39.217000|3
2022-04-27 14:02:01.682000|3
2022-04-27 14:02:01.682000|4
2022-04-27 14:03:02.758000|4
2022-04-27 14:03:02.758000|5
2022-04-27 16:36:43.112000|4
2022-04-27 16:36:43.112000|4
2022-04-27 16:37:19.855000|2
2022-04-27 16:37:19.855000|3
2022-04-27 16:38:45.741000|3
2022-04-27 16:38:45.741000|2
2022-04-27 16:39:36.467000|2
2022-04-27 16:39:36.467000|3
2022-04-27 16:40:32.210000|3
2022-04-27 16:40:32.210000|6
2022-04-28 18:20:10.177000|5
2022-04-28 18:20:10.177000|2
2022-04-29 16:09:10.569000|2
2022-04-29 16:09:10.569000|2
2022-04-29 16:10:14.377000|1
2022-04-29 16:10:14.377000|2
2022-04-29 16:11:30.645000|2
2022-04-29 16:11:30.645000|1
2022-04-29 16:12:43.707000|1
2022-04-29 16:12:43.707000|1
2022-04-29 16:13:42.409000|1
2022-04-29 16:13:42.409000|1
2022-04-29 16:14:46.824000|1
2022-04-29 16:14:46.824000|1
2022-04-29 16:15:41.132000|1
2022-04-29 16:15:41.132000|1
2022-04-29 16:17:02.130000|1
2022-04-29 16:17:02.130000|1
2022-04-29 16:17:50.382000|1
2022-04-29 16:17:50.382000|1
2022-04-29 16:18:41.259000|1
2022-04-29 16:18:41.259000|1
2022-04-29 16:19:33.082000|1
2022-04-29 16:19:33.082000|1
2022-04-29 16:20:25.363000|1
2022-04-29 16:20:25.363000|1
2022-04-29 16:22:21.265000|1
2022-04-29 16:22:21.265000|1
2022-04-29 16:22:58.187000|1
2022-04-29 16:22:58.187000|1
2022-04-29 16:23:49.294000|1
2022-04-29 16:23:49.294000|1
2022-04-29 16:24:42.804000|1
2022-04-29 16:24:42.804000|1
2022-04-29 16:25:31.754000|1
2022-04-29 16:25:31.754000|1
2022-04-29 16:26:19.356000|1
2022-04-29 16:26:19.356000|1
2022-04-29 16:27:17.878000|1
2022-04-29 16:27:17.878000|1
2022-04-29 17:41:58.358000|1
2022-04-29 17:41:58.358000|0
2022-04-29 17:42:40.643000|1
2022-04-29 17:42:40.643000|1
2022-04-29 17:43:11.587000|0
2022-04-29 17:43:11.587000|0
2022-04-29 17:43:46.535000|0
2022-04-29 17:43:46.535000|0
2022-04-29 17:44:18.415000|0
2022-04-29 17:44:18.415000|0
2022-04-29 17:44:47.920000|1
2022-04-29 17:44:47.920000|1
2022-04-29 17:45:24.283000|0
2022-04-29 17:45:24.283000|0
2022-04-29 17:45:53.855000|1
2022-04-29 17:45:53.855000|1
2022-04-29 17:46:21.832000|0
2022-04-29 17:46:21.832000|0
2022-04-29 17:46:55.500000|1
2022-04-29 17:46:55.500000|1
2022-04-29 17:47:42.113000|1
2022-04-29 17:47:42.113000|1
2022-04-30 16:36:33.480000|1
2022-04-30 16:36:33.480000|1
2022-05-06 16:34:07.916000|4
2022-05-06 16:34:07.916000|3
2022-05-06 16:34:41.084000|1
