titulo,cluster
Tiros em escola na Alemanha deixam um ferido,171
Ataque com faca em trem deixa feridos na Alemanha,171
"Tiroteio em escola na Alemanha deixa um ferido, e suspeito é preso na rua com arma medieval; veja vídeo",171
Tiroteio em escola deixa uma pessoa ferida na Alemanha,171
TCU forma maioria para aprovar privatização da Eletrobras,170
Oferta pública de ações dá início à privatização da Eletrobras,170
TCU aprova processo de privatização da Eletrobras,170
"Por 7 votos a 1, TCU aprova processo de privatização da Eletrobras",170
Câmara conclui votação de projeto que regulamenta ensino domiciliar,169
Câmara aprova regulamentação do homeschooling,169
Câmara aprova texto-base da regulação do homeschooling,169
Câmara mantém texto original do projeto que regula o homeschooling,169
Câmara aprova urgência a projeto que regula homeschooling,169
Pagamento do Auxílio Emergencial: Chefe de família ainda pode ser beneficiado com algum extra?,168
Auxílio Emergencial: Chefe de família ainda pode ser beneficiado com alguma parcela?,168
Auxílio Emergencial: Chefe de família ainda tem direito ao residuos?,168
Pagamento do Auxílio Emergencial: Familias ainda podem ser beneficiadas?,168
Governo deve publicar decreto que regulamenta mercado de carbono,167
Governo edita decreto que regulamenta mercado de créditos de carbono no Brasil,167
Decreto regulamenta mercado de carbono no Brasil,167
Decreto regulamenta mercado de carbono no país,167
"Governo edita decreto que regulamenta mercado de carbono, diz ministro do Meio Ambiente",167
STF mantém multa para motoristas que recusem teste de bafômetro,166
"Em decisão unânime, STF mantém punição a motorista que recusa bafômetro",166
STF decide por unanimidade validar punição a motorista que recusar bafômetro,166
STF confirma multa para motorista que recusa bafômetro,166
Lei Seca: STF valida punições para quem recusa bafômetro,166
Corregedoria da Câmara de SP abre processo por racismo contra vereador,165
Juiz suspende CPI presidida por vereador acusado de racismo na Câmara de SP,165
Camilo Cristófaro tem processo por racismo aprovado na Corregedoria da Câmara de SP,165
Manifestantes protestam contra vereador Camilo Cristófaro por fala racista,165
Corregedor nomeia vereadora negra para relatar processo de racismo contra Camilo Cristófaro na Câmara Municipal de SP,165
Juiz suspende CPI presidida por vereador acusado de racismo na Câmara de SP,165
Congresso americano fará reunião sobre casos de avistamento de OVNIs divulgados pelo Pentágono,164
Pentágono participa de audiência na Câmara dos EUA sobre óvnis,164
Ovnis: as incomuns imagens de ‘fenômenos aéreos inexplicáveis’ mostradas no Congresso dos EUA,164
Ovnis: as incomuns imagens de ‘fenômenos aéreos inexplicáveis’ mostradas no Congresso dos EUA,164
Alesp começa a discutir e votar nesta terça cassação de Arthur do Val,163
Acompanhe sessão da Alesp que debate pedido de cassação de Arthur do Val,163
Cassação de Arthur do Val é publicada no Diário Oficial de São Paulo,163
Cassação de Arthur do Val é publicada no Diário Oficial de São Paulo,163
Alesp vota a cassação de Arthur do Val nesta terça-feira,163
Alesp vota a cassação de Arthur do Val nesta terça-feira,163
"Eletrobras anuncia lucro de R$ 2,7 bilhões no primeiro trimestre",162
Eletrobras tem lucro 70% maior no 1º trimestre e deve adiar Angra 3 para 2028,162
Eletrobras tem lucro 70% maior no 1º tri e deve adiar Angra 3 para 2028,162
"Eletrobras tem lucro de R$ 2,7 bi no 1º trimestre, alta de 70%",162
Localização de corpos de casal desaparecido em Cachoeirinha é prioridade da Polícia Civil,161
Polícia Civil inicia buscas por casal desaparecido em Cachoeirinha,161
Polícia prende filha e neto por suspeita de participação no desaparecimento de casal em Cachoeirinha,161
Polícia faz buscas por 6 presos que fugiram após duas unidades inundarem em SC,161
Ministério Público pede para PF investigar Moro por mudança de domicílio eleitoral,160
Ministério Público pede para PF investigar Moro por mudança de domicílio eleitoral,160
Ministério Público Eleitoral manda PF abrir inquérito para investigar mudança de domicílio eleitoral de Sergio Moro para SP,160
MP pede à Polícia Federal que investigue mudança de domicílio eleitoral de Moro,160
Pontuação na CNH: Detran agora com os novos limites,159
Novos limites para pontuação da CNH pelo Detran,159
Limites de pontuação na carteira de motorista após novo aumento pelo Detran,159
Limite de pontuação para nova CNH,159
Mutirão do emprego tem vagas para 6 mil pessoas em São Paulo,158
Mutirão de emprego no Centro de SP atrai milhares de pessoas; candidatos dormiram na fila em busca de vaga,158
"Sob frio, candidatos formam fila para 2° dia de mutirão de emprego no Centro de SP",158
Milhares de pessoas ficam horas em fila em busca de emprego em SP,158
Balanço Geral Curitiba Sábado | 21/05/2022,157
Balanço Geral Curitiba Ao Vivo | 16/05/2022,157
Balanço Geral Curitiba Ao Vivo | 16/05/2022,157
Balanço Geral | 16/05/2022,157
Balanço Geral Curitiba Ao Vivo | 16/05/2022,157
Brasília Ambiental lança campanha de castração de cães e gatos,156
Ibram abre inscrições para campanha de castração gratuita de cães e gatos,156
Prazo para castrar e chipar cães e gatos de forma gratuita é prorrogado em Bom Despacho,156
